Plan name:,BEAM SUNTORY RETIREMENT SAVINGS PLAN,,,
Date Range,01/01/2020 - 10/27/2020,,,
,,,,
,,,,
Date,Investment,Transaction Type,Amount,Shares/Unit
10/23/2020,FID 500 INDEX,CONTRIBUTION,324,2.694
10/9/2020,FID 500 INDEX,CONTRIBUTION,324,2.686
10/2/2020,FID 500 INDEX,Change in Account Value,27.48,0.237
10/1/2020,VANG WINDSOR II ADM,RECORDKEEPING FEE,-8.03,-0.129
10/1/2020,VANG WINDSOR II ADM,REALIZED G/L,0.04,0
10/1/2020,AF GRTH FUND AMER R6,RECORDKEEPING FEE,-9.47,-0.152
10/1/2020,AF GRTH FUND AMER R6,REALIZED G/L,1.68,0
9/25/2020,FID 500 INDEX,CONTRIBUTION,324,2.822
9/11/2020,FID 500 INDEX,CONTRIBUTION,324,2.788
9/1/2020,FID 500 INDEX,CONTRIBUTION,324,2.642
8/18/2020,FID 500 INDEX,CONTRIBUTION,324,2.751
8/4/2020,FID 500 INDEX,CONTRIBUTION,324,2.823
7/21/2020,FID 500 INDEX,CONTRIBUTION,324,2.867
7/10/2020,FID 500 INDEX,Change in Account Value,21.65,0.196
7/7/2020,FID 500 INDEX,CONTRIBUTION,324,2.957
7/1/2020,VANG WINDSOR II ADM,RECORDKEEPING FEE,-8.14,-0.142
7/1/2020,VANG WINDSOR II ADM,REALIZED G/L,-0.65,0
7/1/2020,AF GRTH FUND AMER R6,RECORDKEEPING FEE,-9.36,-0.167
7/1/2020,AF GRTH FUND AMER R6,REALIZED G/L,0.79,0
6/26/2020,VANG WINDSOR II ADM,Change in Account Value,31.53,0.563
6/23/2020,VANG WINDSOR II ADM,CONTRIBUTION,106.92,1.815
6/23/2020,FID 500 INDEX,CONTRIBUTION,110.16,1.01
6/23/2020,AF GRTH FUND AMER R6,CONTRIBUTION,106.92,1.929
6/9/2020,VANG WINDSOR II ADM,CONTRIBUTION,106.92,1.746
6/9/2020,FID 500 INDEX,CONTRIBUTION,110.16,0.988
6/9/2020,AF GRTH FUND AMER R6,CONTRIBUTION,106.92,1.946
5/26/2020,VANG WINDSOR II ADM,CONTRIBUTION,106.92,1.895
5/26/2020,FID 500 INDEX,CONTRIBUTION,110.16,1.06
5/26/2020,AF GRTH FUND AMER R6,CONTRIBUTION,106.92,2.057
5/12/2020,VANG WINDSOR II ADM,CONTRIBUTION,106.92,1.993
5/12/2020,FID 500 INDEX,CONTRIBUTION,110.16,1.105
5/12/2020,AF GRTH FUND AMER R6,CONTRIBUTION,106.92,2.135
4/28/2020,VANG WINDSOR II ADM,CONTRIBUTION,106.92,1.983
4/28/2020,FID 500 INDEX,CONTRIBUTION,110.16,1.109
4/28/2020,AF GRTH FUND AMER R6,CONTRIBUTION,106.92,2.212
4/14/2020,VANG WINDSOR II ADM,CONTRIBUTION,106.11,1.995
4/14/2020,FID 500 INDEX,CONTRIBUTION,109.31,1.107
4/14/2020,AF GRTH FUND AMER R6,CONTRIBUTION,106.09,2.232
4/8/2020,FID 500 INDEX,Change in Account Value,18.41,0.193
4/1/2020,VANG WINDSOR II ADM,RECORDKEEPING FEE,-8.35,-0.18
4/1/2020,VANG WINDSOR II ADM,REALIZED G/L,-3.02,0
4/1/2020,AF GRTH FUND AMER R6,RECORDKEEPING FEE,-9.15,-0.221
4/1/2020,AF GRTH FUND AMER R6,REALIZED G/L,-2.21,0
3/31/2020,VANG WINDSOR II ADM,CONTRIBUTION,102.8,2.112
3/31/2020,FID 500 INDEX,CONTRIBUTION,105.93,1.176
3/31/2020,AF GRTH FUND AMER R6,CONTRIBUTION,102.81,2.367
3/13/2020,VANG WINDSOR II ADM,CONTRIBUTION,266.61,5.173
3/13/2020,FID 500 INDEX,CONTRIBUTION,274.68,2.91
3/13/2020,AF GRTH FUND AMER R6,CONTRIBUTION,266.6,6.014
3/3/2020,VANG WINDSOR II ADM,CONTRIBUTION,102.8,1.748
3/3/2020,FID 500 INDEX,CONTRIBUTION,105.93,1.014
3/3/2020,AF GRTH FUND AMER R6,CONTRIBUTION,102.81,2.084
2/20/2020,VANG WINDSOR II ADM,CONTRIBUTION,"1,225.81",18.492
2/20/2020,FID 500 INDEX,CONTRIBUTION,"1,262.96",10.77
2/20/2020,AF GRTH FUND AMER R6,CONTRIBUTION,"1,225.81",22.287
2/18/2020,VANG WINDSOR II ADM,CONTRIBUTION,102.8,1.555
2/18/2020,FID 500 INDEX,CONTRIBUTION,105.93,0.904
2/18/2020,AF GRTH FUND AMER R6,CONTRIBUTION,102.81,1.87
2/6/2020,VANG WINDSOR II ADM,CONTRIBUTION,12.01,0.182
2/6/2020,FID 500 INDEX,CONTRIBUTION,12.37,0.106
2/6/2020,AF GRTH FUND AMER R6,CONTRIBUTION,12.01,0.223
2/4/2020,VANG WINDSOR II ADM,CONTRIBUTION,102.8,1.581
2/4/2020,FID 500 INDEX,CONTRIBUTION,105.93,0.925
2/4/2020,AF GRTH FUND AMER R6,CONTRIBUTION,102.81,1.924
1/21/2020,VANG WINDSOR II ADM,CONTRIBUTION,102.8,1.557
1/21/2020,FID 500 INDEX,CONTRIBUTION,105.93,0.92
1/21/2020,AF GRTH FUND AMER R6,CONTRIBUTION,102.81,1.938
1/8/2020,VANG WINDSOR II ADM,CONTRIBUTION,102.8,1.579
1/8/2020,FID 500 INDEX,CONTRIBUTION,105.93,0.939
1/8/2020,AF GRTH FUND AMER R6,CONTRIBUTION,102.81,1.974
1/2/2020,VANG WINDSOR II ADM,RECORDKEEPING FEE,-8.75,-0.135
1/2/2020,VANG WINDSOR II ADM,REALIZED G/L,0.02,0
1/2/2020,AF GRTH FUND AMER R6,RECORDKEEPING FEE,-8.75,-0.169
1/2/2020,AF GRTH FUND AMER R6,REALIZED G/L,0.2,0
